zpid,street,zipcode,city,state,lat,long,urls, useCode,bedrooms,bathrooms,finishedSqFt,lotSizeSqFt,
273565,9703Highway107,72120,Sherwood,AR,34.843301,-92.232642,https://photos.zillowstatic.com/p_d/ISif3oqrvd9u2p0000000000.jpg https://photos.zillowstatic.com/p_d/ISyzpvk1vnv3ra0000000000.jpg https://photos.zillowstatic.com/p_d/ISmaivzj6esa1c0000000000.jpg https://photos.zillowstatic.com/p_d/IS2b5ya9mjhp8a0000000000.jpg https://photos.zillowstatic.com/p_d/ISe4gjhd26kd1c0000000000.jpg ,SingleFamily,2,1.0,960,49222,
273480,10402FarrisAve,72120,Sherwood,AR,34.848657,-92.224762,https://photos.zillowstatic.com/p_d/IS1f0igdi7e8wwz.jpg https://photos.zillowstatic.com/p_d/IS1ftogopj7gof7.jpg ,SingleFamily,3,1.0,2200,30056,
273674,202AmberOaksDr,72120,Sherwood,AR,34.854619,-92.227454,https://photos.zillowstatic.com/p_d/ISu8quxjn1hc6o1000000000.jpg https://photos.zillowstatic.com/p_d/ISq5tfswuhko4p1000000000.jpg https://photos.zillowstatic.com/p_d/ISizq3aqq9cr4p1000000000.jpg https://photos.zillowstatic.com/p_d/ISatorrjm14u4p1000000000.jpg https://photos.zillowstatic.com/p_d/IS2nmf9ditvw4p1000000000.jpg ,SingleFamily,3,2.0,1516,7536,
114074,920LakelandDr,36080,Titus,AL,32.641559,-86.288609,https://photos.zillowstatic.com/p_d/ISh3ewu83ptvja0000000000.jpg https://photos.zillowstatic.com/p_d/IStg4b6r0i2dil0000000000.jpg https://photos.zillowstatic.com/p_d/ISla2znkw9ufil0000000000.jpg https://photos.zillowstatic.com/p_d/ISd40n5es1miil0000000000.jpg https://photos.zillowstatic.com/p_d/IS5yxan7otdlil0000000000.jpg ,SingleFamily,,2.5,2244,,
799582,221256thSt,50310,DesMoines,IA,41.614449,-93.694672,https://photos.zillowstatic.com/p_d/ISu8ut7qry3v8i0000000000.jpg https://photos.zillowstatic.com/p_d/IS62pyefum7lcj0000000000.jpg https://photos.zillowstatic.com/p_d/ISme1dxh9knwoj0000000000.jpg https://photos.zillowstatic.com/p_d/ISyvmmw8qezncj0000000000.jpg https://photos.zillowstatic.com/p_d/ISe8z0fb5cfzoj0000000000.jpg ,SingleFamily,2,1.5,864,6969,
